"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"55-64 years"	"55-64"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	66	344792	19.141975452
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	1189	312875	380.023971234
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	158	312875	50.499400719
	"Alabama"	"01"	"55-64 years"	"55-64"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	84	312875	26.847782661
	"Alabama"	"01"	"65-74 years"	"65-74"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	1361	270914	502.373446924
	"Alabama"	"01"	"65-74 years"	"65-74"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	137	270914	50.569553438
	"Alabama"	"01"	"65-74 years"	"65-74"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	89	270914	32.851753693
	"Alabama"	"01"	"65-74 years"	"65-74"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	1851	230533	802.921924410
	"Alabama"	"01"	"65-74 years"	"65-74"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	210	230533	91.093249123
	"Alabama"	"01"	"65-74 years"	"65-74"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	129	230533	55.957281604
	"Alabama"	"01"	"75-84 years"	"75-84"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	1227	147551	831.576878503
	"Alabama"	"01"	"75-84 years"	"75-84"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	139	147551	94.204715658
	"Alabama"	"01"	"75-84 years"	"75-84"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	126	147551	85.394202682
	"Alabama"	"01"	"75-84 years"	"75-84"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	1488	109296	1361.440491875
	"Alabama"	"01"	"75-84 years"	"75-84"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	155	109296	141.816717904
	"Alabama"	"01"	"75-84 years"	"75-84"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	129	109296	118.028107159
	"Alabama"	"01"	"85+ years"	"85+"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	741	60221	1230.467777021
	"Alabama"	"01"	"85+ years"	"85+"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	75	60221	124.541272978
	"Alabama"	"01"	"85+ years"	"85+"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	172	60221	285.614652696
	"Alabama"	"01"	"85+ years"	"85+"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	624	31322	1992.209948279
	"Alabama"	"01"	"85+ years"	"85+"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	74	31322	236.255666943
	"Alabama"	"01"	"85+ years"	"85+"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	132	31322	421.429027521
	"Alabama"	"01"	"Not Stated"	"NS"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"< 1 year"	"1"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	4881	Suppressed
	"Alaska"	"02"	"< 1 year"	"1"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	4881	Suppressed
	"Alaska"	"02"	"< 1 year"	"1"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	4881	Suppressed
	"Alaska"	"02"	"< 1 year"	"1"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	5097	Suppressed
	"Alaska"	"02"	"< 1 year"	"1"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	5097	Suppressed
	"Alaska"	"02"	"< 1 year"	"1"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	5097	Suppressed
	"Alaska"	"02"	"1-4 years"	"1-4"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	20046	Suppressed
	"Alaska"	"02"	"1-4 years"	"1-4"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	20046	Suppressed
	"Alaska"	"02"	"1-4 years"	"1-4"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	20046	Suppressed
	"Alaska"	"02"	"1-4 years"	"1-4"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	21056	Suppressed
	"Alaska"	"02"	"1-4 years"	"1-4"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	21056	Suppressed
	"Alaska"	"02"	"1-4 years"	"1-4"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	21056	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	48858	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	48858	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	48858	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	51804	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	51804	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	51804	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	43419	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	43419	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	43419	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	52974	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	52974	Suppressed
	"Alaska"	"02"	"15-24 years"	"15-24"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	52974	Suppressed
	"Alaska"	"02"	"25-34 years"	"25-34"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	55083	Suppressed
	"Alaska"	"02"	"25-34 years"	"25-34"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	55083	Suppressed
	"Alaska"	"02"	"25-34 years"	"25-34"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	55083	Suppressed
	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	62505	Suppressed
	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	62505	Suppressed
	"Alaska"	"02"	"25-34 years"	"25-34"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	62505	Suppressed
	"Alaska"	"02"	"35-44 years"	"35-44"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	45800	Suppressed
	"Alaska"	"02"	"35-44 years"	"35-44"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	45800	Suppressed
	"Alaska"	"02"	"35-44 years"	"35-44"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	45800	Suppressed
	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	49965	Suppressed
	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	49965	Suppressed
	"Alaska"	"02"	"35-44 years"	"35-44"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	49965	Suppressed
	"Alaska"	"02"	"45-54 years"	"45-54"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	26	40632	63.988974208
	"Alaska"	"02"	"45-54 years"	"45-54"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	40632	Suppressed
	"Alaska"	"02"	"45-54 years"	"45-54"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	40632	Suppressed
	"Alaska"	"02"	"45-54 years"	"45-54"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	30	44498	67.418760394
	"Alaska"	"02"	"45-54 years"	"45-54"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	44498	Suppressed
	"Alaska"	"02"	"45-54 years"	"45-54"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	44498	Suppressed
	"Alaska"	"02"	"55-64 years"	"55-64"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	92	45269	203.229583158
	"Alaska"	"02"	"55-64 years"	"55-64"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	45269	Suppressed
	"Alaska"	"02"	"55-64 years"	"55-64"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	45269	Suppressed
	"Alaska"	"02"	"55-64 years"	"55-64"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	126	48070	262.117744955
	"Alaska"	"02"	"55-64 years"	"55-64"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	18	48070	Unreliable
	"Alaska"	"02"	"55-64 years"	"55-64"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	48070	Suppressed
	"Alaska"	"02"	"65-74 years"	"65-74"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	148	29793	496.760984124
	"Alaska"	"02"	"65-74 years"	"65-74"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	11	29793	Unreliable
	"Alaska"	"02"	"65-74 years"	"65-74"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	29793	Suppressed
	"Alaska"	"02"	"65-74 years"	"65-74"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	187	31507	593.518900562
	"Alaska"	"02"	"65-74 years"	"65-74"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	21	31507	66.651855143
	"Alaska"	"02"	"65-74 years"	"65-74"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	31507	Suppressed
	"Alaska"	"02"	"75-84 years"	"75-84"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	107	11906	898.706534520
	"Alaska"	"02"	"75-84 years"	"75-84"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	18	11906	Unreliable
	"Alaska"	"02"	"75-84 years"	"75-84"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	11906	Suppressed
	"Alaska"	"02"	"75-84 years"	"75-84"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	151	11201	1348.093920186
	"Alaska"	"02"	"75-84 years"	"75-84"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	14	11201	Unreliable
	"Alaska"	"02"	"75-84 years"	"75-84"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	11201	Suppressed
	"Alaska"	"02"	"85+ years"	"85+"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	63	4440	1418.918918919
	"Alaska"	"02"	"85+ years"	"85+"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	4440	Suppressed
	"Alaska"	"02"	"85+ years"	"85+"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	4440	Suppressed
	"Alaska"	"02"	"85+ years"	"85+"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	63	2741	2298.431229478
	"Alaska"	"02"	"85+ years"	"85+"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	2741	Suppressed
	"Alaska"	"02"	"85+ years"	"85+"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	2741	Suppressed
	"Alaska"	"02"	"Not Stated"	"NS"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"< 1 year"	"1"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	40021	Suppressed
	"Arizona"	"04"	"< 1 year"	"1"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	40021	Suppressed
	"Arizona"	"04"	"< 1 year"	"1"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	40021	Suppressed
	"Arizona"	"04"	"< 1 year"	"1"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	41908	Suppressed
	"Arizona"	"04"	"< 1 year"	"1"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	41908	Suppressed
	"Arizona"	"04"	"< 1 year"	"1"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	41908	Suppressed
	"Arizona"	"04"	"1-4 years"	"1-4"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	170253	Suppressed
	"Arizona"	"04"	"1-4 years"	"1-4"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	170253	Suppressed
	"Arizona"	"04"	"1-4 years"	"1-4"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	170253	Suppressed
	"Arizona"	"04"	"1-4 years"	"1-4"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	177606	Suppressed
	"Arizona"	"04"	"1-4 years"	"1-4"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	177606	Suppressed
	"Arizona"	"04"	"1-4 years"	"1-4"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	177606	Suppressed
	"Arizona"	"04"	"5-14 years"	"5-14"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	456421	Suppressed
	"Arizona"	"04"	"5-14 years"	"5-14"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	456421	Suppressed
	"Arizona"	"04"	"5-14 years"	"5-14"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	456421	Suppressed
	"Arizona"	"04"	"5-14 years"	"5-14"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	13	474324	Unreliable
	"Arizona"	"04"	"5-14 years"	"5-14"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	474324	Suppressed
	"Arizona"	"04"	"5-14 years"	"5-14"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	474324	Suppressed
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	15	472432	Unreliable
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	472432	Suppressed
	"Arizona"	"04"	"15-24 years"	"15-24"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	472432	Suppressed
	"Arizona"	"04"	"15-24 years"	"15-24"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	20	501115	3.991099847
	"Arizona"	"04"	"15-24 years"	"15-24"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	501115	Suppressed
	"Arizona"	"04"	"15-24 years"	"15-24"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	501115	Suppressed
	"Arizona"	"04"	"25-34 years"	"25-34"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	39	484280	8.053192368
	"Arizona"	"04"	"25-34 years"	"25-34"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	484280	Suppressed
	"Arizona"	"04"	"25-34 years"	"25-34"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	484280	Suppressed
	"Arizona"	"04"	"25-34 years"	"25-34"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	40	522813	7.650919162
	"Arizona"	"04"	"25-34 years"	"25-34"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	522813	Suppressed
	"Arizona"	"04"	"25-34 years"	"25-34"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	522813	Suppressed
	"Arizona"	"04"	"35-44 years"	"35-44"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	117	442046	26.467833664
	"Arizona"	"04"	"35-44 years"	"35-44"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	29	442046	6.560403216
	"Arizona"	"04"	"35-44 years"	"35-44"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	12	442046	Unreliable
	"Arizona"	"04"	"35-44 years"	"35-44"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	97	453981	21.366532961
	"Arizona"	"04"	"35-44 years"	"35-44"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	47	453981	10.352856177
	"Arizona"	"04"	"35-44 years"	"35-44"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	12	453981	Unreliable
	"Arizona"	"04"	"45-54 years"	"45-54"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	345	429646	80.298664482
	"Arizona"	"04"	"45-54 years"	"45-54"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	60	429646	13.964985127
	"Arizona"	"04"	"45-54 years"	"45-54"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	21	429646	4.887744795
	"Arizona"	"04"	"45-54 years"	"45-54"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	306	422444	72.435636439
	"Arizona"	"04"	"45-54 years"	"45-54"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	117	422444	27.695978639
	"Arizona"	"04"	"45-54 years"	"45-54"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	33	422444	7.811686283
	"Arizona"	"04"	"55-64 years"	"55-64"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	962	460049	209.108160218
	"Arizona"	"04"	"55-64 years"	"55-64"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	147	460049	31.953118037
	"Arizona"	"04"	"55-64 years"	"55-64"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	58	460049	12.607352695
	"Arizona"	"04"	"55-64 years"	"55-64"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	1164	420745	276.652128962
	"Arizona"	"04"	"55-64 years"	"55-64"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	260	420745	61.795149081
	"Arizona"	"04"	"55-64 years"	"55-64"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	63	420745	14.973439970
	"Arizona"	"04"	"65-74 years"	"65-74"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	1677	401078	418.123158089
	"Arizona"	"04"	"65-74 years"	"65-74"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	229	401078	57.096125941
	"Arizona"	"04"	"65-74 years"	"65-74"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	88	401078	21.940869357
	"Arizona"	"04"	"65-74 years"	"65-74"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	1995	350621	568.990448376
	"Arizona"	"04"	"65-74 years"	"65-74"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	395	350621	112.657256696
	"Arizona"	"04"	"65-74 years"	"65-74"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	115	350621	32.798948152
	"Arizona"	"04"	"75-84 years"	"75-84"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	1592	220061	723.435774626
	"Arizona"	"04"	"75-84 years"	"75-84"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	245	220061	111.332766824
