"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	157860	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	157860	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	21	151231	13.886041883
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	151231	Suppressed
	"Alabama"	"01"	"30-34 years"	"30-34"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	151231	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	35	156924	22.303790370
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	156924	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	156924	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	29	147221	19.698276740
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	15	147221	Unreliable
	"Alabama"	"01"	"35-39 years"	"35-39"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	147221	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	57	149802	38.050226299
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	149802	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	149802	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	46	139359	33.008273596
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	16	139359	Unreliable
	"Alabama"	"01"	"40-44 years"	"40-44"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	139359	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	116	159489	72.732288747
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	19	159489	Unreliable
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	159489	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	121	149462	80.957032557
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	21	149462	14.050394080
	"Alabama"	"01"	"45-49 years"	"45-49"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	14	149462	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	176	158420	111.097083702
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	27	158420	17.043302613
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	13	158420	Unreliable
	"Alabama"	"01"	"50-54 years"	"50-54"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	217	149245	145.398505813
	"Alabama"	"01"	"50-54 years"	"50-54"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	43	149245	28.811685484
	"Alabama"	"01"	"50-54 years"	"50-54"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	20	149245	13.400783946
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	371	174936	212.077559793
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	44	174936	25.152055609
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	29	174936	16.577491197
	"Alabama"	"01"	"55-59 years"	"55-59"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	486	161384	301.145094929
	"Alabama"	"01"	"55-59 years"	"55-59"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	70	161384	43.374807912
	"Alabama"	"01"	"55-59 years"	"55-59"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	38	161384	23.546324295
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	533	169856	313.795214770
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	51	169856	30.025433308
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	37	169856	21.783157498
	"Alabama"	"01"	"60-64 years "	"60-64"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	703	151491	464.053970203
	"Alabama"	"01"	"60-64 years "	"60-64"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	88	151491	58.089259428
	"Alabama"	"01"	"60-64 years "	"60-64"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	46	151491	30.364840156
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	626	148101	422.684519348
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	75	148101	50.641116535
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	46	148101	31.059884808
	"Alabama"	"01"	"65-69 years"	"65-69"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	921	127347	723.220806144
	"Alabama"	"01"	"65-69 years"	"65-69"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	104	127347	81.666627404
	"Alabama"	"01"	"65-69 years"	"65-69"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	58	127347	45.544849898
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	735	122813	598.470845920
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	62	122813	50.483255030
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	43	122813	35.012580101
	"Alabama"	"01"	"70-74 years"	"70-74"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	930	103186	901.285058050
	"Alabama"	"01"	"70-74 years"	"70-74"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	106	103186	102.727114143
	"Alabama"	"01"	"70-74 years"	"70-74"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	71	103186	68.807784002
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	659	87733	751.142671515
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	78	87733	88.906112865
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	64	87733	72.948605428
	"Alabama"	"01"	"75-79 years"	"75-79"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	810	68081	1189.759257355
	"Alabama"	"01"	"75-79 years"	"75-79"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	93	68081	136.601988807
	"Alabama"	"01"	"75-79 years"	"75-79"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	60	68081	88.130315360
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	568	59818	949.546959109
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	61	59818	101.975993848
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	62	59818	103.647731452
	"Alabama"	"01"	"80-84 years"	"80-84"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	678	41215	1645.032148490
	"Alabama"	"01"	"80-84 years"	"80-84"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	62	41215	150.430668446
	"Alabama"	"01"	"80-84 years"	"80-84"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	69	41215	167.414776174
	"Alabama"	"01"	"85-89 years"	"85-89"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	406	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	77	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	397	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	47	Not Applicable	Not Applicable
	"Alabama"	"01"	"85-89 years"	"85-89"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	74	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	241	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	61	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	182	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"90-94 years"	"90-94"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	47	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	81	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	43	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"95-99 years"	"95-99"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"100+ years"	"100+"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"< 1 year"	"1"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	4881	Suppressed
	"Alaska"	"02"	"< 1 year"	"1"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	4881	Suppressed
	"Alaska"	"02"	"< 1 year"	"1"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	4881	Suppressed
	"Alaska"	"02"	"< 1 year"	"1"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	5097	Suppressed
	"Alaska"	"02"	"< 1 year"	"1"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	5097	Suppressed
	"Alaska"	"02"	"< 1 year"	"1"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	5097	Suppressed
	"Alaska"	"02"	"1-4 years"	"1-4"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	20046	Suppressed
	"Alaska"	"02"	"1-4 years"	"1-4"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	20046	Suppressed
	"Alaska"	"02"	"1-4 years"	"1-4"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	20046	Suppressed
	"Alaska"	"02"	"1-4 years"	"1-4"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	21056	Suppressed
	"Alaska"	"02"	"1-4 years"	"1-4"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	21056	Suppressed
	"Alaska"	"02"	"1-4 years"	"1-4"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	21056	Suppressed
	"Alaska"	"02"	"5-9 years"	"5-9"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	25195	Suppressed
	"Alaska"	"02"	"5-9 years"	"5-9"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	25195	Suppressed
	"Alaska"	"02"	"5-9 years"	"5-9"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	25195	Suppressed
	"Alaska"	"02"	"5-9 years"	"5-9"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	26401	Suppressed
	"Alaska"	"02"	"5-9 years"	"5-9"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	26401	Suppressed
	"Alaska"	"02"	"5-9 years"	"5-9"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	26401	Suppressed
	"Alaska"	"02"	"10-14 years"	"10-14"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	23663	Suppressed
	"Alaska"	"02"	"10-14 years"	"10-14"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	23663	Suppressed
	"Alaska"	"02"	"10-14 years"	"10-14"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	23663	Suppressed
	"Alaska"	"02"	"10-14 years"	"10-14"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	25403	Suppressed
	"Alaska"	"02"	"10-14 years"	"10-14"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	25403	Suppressed
	"Alaska"	"02"	"10-14 years"	"10-14"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	25403	Suppressed
	"Alaska"	"02"	"15-19 years"	"15-19"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	21516	Suppressed
	"Alaska"	"02"	"15-19 years"	"15-19"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	21516	Suppressed
	"Alaska"	"02"	"15-19 years"	"15-19"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	21516	Suppressed
	"Alaska"	"02"	"15-19 years"	"15-19"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	23594	Suppressed
	"Alaska"	"02"	"15-19 years"	"15-19"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	23594	Suppressed
	"Alaska"	"02"	"15-19 years"	"15-19"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	23594	Suppressed
	"Alaska"	"02"	"20-24 years"	"20-24"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	21903	Suppressed
	"Alaska"	"02"	"20-24 years"	"20-24"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	21903	Suppressed
	"Alaska"	"02"	"20-24 years"	"20-24"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	21903	Suppressed
	"Alaska"	"02"	"20-24 years"	"20-24"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	29380	Suppressed
	"Alaska"	"02"	"20-24 years"	"20-24"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	29380	Suppressed
	"Alaska"	"02"	"20-24 years"	"20-24"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	29380	Suppressed
	"Alaska"	"02"	"25-29 years"	"25-29"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	27969	Suppressed
	"Alaska"	"02"	"25-29 years"	"25-29"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	27969	Suppressed
	"Alaska"	"02"	"25-29 years"	"25-29"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	27969	Suppressed
	"Alaska"	"02"	"25-29 years"	"25-29"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	32458	Suppressed
	"Alaska"	"02"	"25-29 years"	"25-29"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	32458	Suppressed
	"Alaska"	"02"	"25-29 years"	"25-29"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	32458	Suppressed
	"Alaska"	"02"	"30-34 years"	"30-34"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	27114	Suppressed
	"Alaska"	"02"	"30-34 years"	"30-34"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	27114	Suppressed
	"Alaska"	"02"	"30-34 years"	"30-34"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	27114	Suppressed
	"Alaska"	"02"	"30-34 years"	"30-34"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	30047	Suppressed
	"Alaska"	"02"	"30-34 years"	"30-34"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	30047	Suppressed
	"Alaska"	"02"	"30-34 years"	"30-34"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	30047	Suppressed
	"Alaska"	"02"	"35-39 years"	"35-39"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	25103	Suppressed
	"Alaska"	"02"	"35-39 years"	"35-39"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	25103	Suppressed
	"Alaska"	"02"	"35-39 years"	"35-39"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	25103	Suppressed
	"Alaska"	"02"	"35-39 years"	"35-39"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	27318	Suppressed
	"Alaska"	"02"	"35-39 years"	"35-39"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	27318	Suppressed
	"Alaska"	"02"	"35-39 years"	"35-39"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	27318	Suppressed
	"Alaska"	"02"	"40-44 years"	"40-44"	"Female"	"F"	"Malignant neoplasms"	"C00-C97"	Suppressed	20697	Suppressed
	"Alaska"	"02"	"40-44 years"	"40-44"	"Female"	"F"	"Diabetes mellitus"	"E10-E14"	Suppressed	20697	Suppressed
	"Alaska"	"02"	"40-44 years"	"40-44"	"Female"	"F"	"Influenza and pneumonia"	"J09-J18"	Suppressed	20697	Suppressed
	"Alaska"	"02"	"40-44 years"	"40-44"	"Male"	"M"	"Malignant neoplasms"	"C00-C97"	Suppressed	22647	Suppressed
	"Alaska"	"02"	"40-44 years"	"40-44"	"Male"	"M"	"Diabetes mellitus"	"E10-E14"	Suppressed	22647	Suppressed
	"Alaska"	"02"	"40-44 years"	"40-44"	"Male"	"M"	"Influenza and pneumonia"	"J09-J18"	Suppressed	22647	Suppressed
