"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2005"	"2005"	304	30212	1006.2
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2006"	"2006"	335	30975	1081.5
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2007"	"2007"	353	31959	1104.5
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2008"	"2008"	349	32274	1081.4
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2009"	"2009"	277	31331	884.1
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2010"	"2010"	286	30465	938.8
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2011"	"2011"	292	30369	961.5
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2012"	"2012"	275	30931	889.1
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2013"	"2013"	277	29884	926.9
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2014"	"2014"	289	29508	979.4
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2015"	"2015"	279	29595	942.7
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2016"	"2016"	295	29784	990.5
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2017"	"2017"	236	29605	797.2
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2018"	"2018"	238	29011	820.4
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2019"	"2019"	246	29080	845.9
	"Alabama"	"01"	"< 1 year"	"1"	"Male"	"M"	"2020 "	"2020"	242	28699	843.2
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"1999"	"1999"	54	115715	46.7
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2000"	"2000"	34	116061	29.3
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2001"	"2001"	37	115083	32.2
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2002"	"2002"	44	116056	37.9
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2003"	"2003"	47	116271	40.4
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2004"	"2004"	41	116238	35.3
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2005"	"2005"	37	116269	31.8
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2006"	"2006"	42	115932	36.2
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2007"	"2007"	32	116224	27.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2008"	"2008"	33	118239	27.9
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2009"	"2009"	38	119487	31.8
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2010"	"2010"	30	120101	25.0
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2011"	"2011"	49	119896	40.9
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2012"	"2012"	43	120004	35.8
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2013"	"2013"	31	116743	26.6
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2014"	"2014"	33	116244	28.4
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2015"	"2015"	38	115443	32.9
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2016"	"2016"	28	115098	24.3
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2017"	"2017"	40	115883	34.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2018"	"2018"	32	116211	27.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2019"	"2019"	45	116821	38.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"Female"	"F"	"2020 "	"2020"	40	115270	34.7
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"1999"	"1999"	67	120438	55.6
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2000"	"2000"	63	120830	52.1
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2001"	"2001"	61	120004	50.8
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2002"	"2002"	58	121027	47.9
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2003"	"2003"	49	120912	40.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2004"	"2004"	65	120805	53.8
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2005"	"2005"	50	120748	41.4
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2006"	"2006"	61	120467	50.6
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2007"	"2007"	44	121169	36.3
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2008"	"2008"	60	122787	48.9
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2009"	"2009"	66	124132	53.2
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2010"	"2010"	50	124800	40.1
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2011"	"2011"	50	124582	40.1
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2012"	"2012"	50	124740	40.1
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2013"	"2013"	52	121922	42.7
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2014"	"2014"	40	120607	33.2
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2015"	"2015"	40	119513	33.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2016"	"2016"	46	119198	38.6
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2017"	"2017"	53	119769	44.3
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2018"	"2018"	57	120253	47.4
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2019"	"2019"	68	120635	56.4
	"Alabama"	"01"	"1-4 years"	"1-4"	"Male"	"M"	"2020 "	"2020"	50	120404	41.5
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"1999"	"1999"	43	153779	28.0
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2000"	"2000"	16	153563	Unreliable
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2001"	"2001"	31	150013	20.7
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2002"	"2002"	25	147800	16.9
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2003"	"2003"	23	146274	15.7
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2004"	"2004"	29	145606	19.9
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2005"	"2005"	18	145876	Unreliable
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2006"	"2006"	28	148424	18.9
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2007"	"2007"	35	149668	23.4
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2008"	"2008"	23	149912	15.3
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2009"	"2009"	21	150719	13.9
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2010"	"2010"	26	150889	17.2
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2011"	"2011"	31	149593	20.7
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2012"	"2012"	22	150008	14.7
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2013"	"2013"	18	150686	Unreliable
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2014"	"2014"	20	150501	13.3
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2015"	"2015"	20	150305	13.3
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2016"	"2016"	25	148759	16.8
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2017"	"2017"	24	147759	16.2
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2018"	"2018"	23	145833	15.8
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2019"	"2019"	30	145957	20.6
	"Alabama"	"01"	"5-9 years"	"5-9"	"Female"	"F"	"2020 "	"2020"	22	146874	15.0
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"1999"	"1999"	43	161970	26.5
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2000"	"2000"	39	161782	24.1
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2001"	"2001"	36	157513	22.9
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2002"	"2002"	36	154832	23.3
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2003"	"2003"	40	152874	26.2
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2004"	"2004"	20	151948	13.2
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2005"	"2005"	30	152574	19.7
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2006"	"2006"	36	155157	23.2
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2007"	"2007"	31	156345	19.8
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2008"	"2008"	30	156770	19.1
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2009"	"2009"	22	157145	14.0
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2010"	"2010"	38	157340	24.2
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2011"	"2011"	26	155515	16.7
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2012"	"2012"	30	156372	19.2
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2013"	"2013"	37	156856	23.6
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2014"	"2014"	43	156549	27.5
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2015"	"2015"	30	155983	19.2
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2016"	"2016"	24	154858	15.5
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2017"	"2017"	15	153526	Unreliable
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2018"	"2018"	32	152067	21.0
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2019"	"2019"	30	152011	19.7
	"Alabama"	"01"	"5-9 years"	"5-9"	"Male"	"M"	"2020 "	"2020"	31	152530	20.3
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"1999"	"1999"	41	154380	26.6
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2000"	"2000"	30	155624	19.3
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2001"	"2001"	34	157362	21.6
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2002"	"2002"	34	158212	21.5
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2003"	"2003"	28	159266	17.6
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2004"	"2004"	29	159030	18.2
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2005"	"2005"	33	157695	20.9
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2006"	"2006"	27	157259	17.2
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2007"	"2007"	18	156588	Unreliable
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2008"	"2008"	35	156058	22.4
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2009"	"2009"	31	155907	19.9
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2010"	"2010"	34	156238	21.8
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2011"	"2011"	25	157363	15.9
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2012"	"2012"	19	157414	Unreliable
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2013"	"2013"	28	155192	18.0
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2014"	"2014"	30	154189	19.5
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2015"	"2015"	33	151864	21.7
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2016"	"2016"	25	150217	16.6
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2017"	"2017"	26	150981	17.2
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2018"	"2018"	20	152218	13.1
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2019"	"2019"	20	152364	13.1
	"Alabama"	"01"	"10-14 years"	"10-14"	"Female"	"F"	"2020 "	"2020"	13	152508	Unreliable
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"1999"	"1999"	57	162999	35.0
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2000"	"2000"	53	164628	32.2
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2001"	"2001"	60	166253	36.1
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2002"	"2002"	55	166796	33.0
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2003"	"2003"	42	167376	25.1
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2004"	"2004"	50	167198	29.9
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2005"	"2005"	46	165333	27.8
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2006"	"2006"	34	164608	20.7
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2007"	"2007"	37	163819	22.6
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2008"	"2008"	37	163445	22.6
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2009"	"2009"	41	163165	25.1
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2010"	"2010"	40	163417	24.5
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2011"	"2011"	43	164412	26.2
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2012"	"2012"	42	163674	25.7
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2013"	"2013"	34	161178	21.1
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2014"	"2014"	36	160265	22.5
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2015"	"2015"	29	157849	18.4
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2016"	"2016"	22	156164	14.1
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2017"	"2017"	51	157478	32.4
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2018"	"2018"	31	158277	19.6
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2019"	"2019"	46	158134	29.1
	"Alabama"	"01"	"10-14 years"	"10-14"	"Male"	"M"	"2020 "	"2020"	38	157702	24.1
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"1999"	"1999"	114	161690	70.5
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2000"	"2000"	77	160165	48.1
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2001"	"2001"	77	158268	48.7
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2002"	"2002"	110	157222	70.0
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2003"	"2003"	78	157477	49.5
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2004"	"2004"	103	159259	64.7
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2005"	"2005"	78	161701	48.2
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2006"	"2006"	88	164708	53.4
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2007"	"2007"	88	167011	52.7
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2008"	"2008"	68	169375	40.1
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2009"	"2009"	81	169867	47.7
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2010"	"2010"	80	168320	47.5
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2011"	"2011"	55	163082	33.7
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2012"	"2012"	68	158223	43.0
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2013"	"2013"	56	157099	35.6
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2014"	"2014"	60	156422	38.4
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2015"	"2015"	66	157347	41.9
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2016"	"2016"	74	158008	46.8
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2017"	"2017"	56	157072	35.7
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2018"	"2018"	71	155697	45.6
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2019"	"2019"	64	154529	41.4
	"Alabama"	"01"	"15-19 years"	"15-19"	"Female"	"F"	"2020 "	"2020"	52	152853	34.0
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"1999"	"1999"	224	166099	134.9
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2000"	"2000"	222	164415	135.0
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2001"	"2001"	220	163598	134.5
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2002"	"2002"	206	163527	126.0
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2003"	"2003"	204	164178	124.3
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2004"	"2004"	212	165836	127.8
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2005"	"2005"	206	169052	121.9
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2006"	"2006"	216	172295	125.4
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2007"	"2007"	216	174268	123.9
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2008"	"2008"	194	176205	110.1
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2009"	"2009"	147	176744	83.2
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2010"	"2010"	147	175151	83.9
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2011"	"2011"	177	170749	103.7
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2012"	"2012"	162	165508	97.9
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2013"	"2013"	133	163751	81.2
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2014"	"2014"	148	161430	91.7
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2015"	"2015"	151	162214	93.1
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2016"	"2016"	195	162538	120.0
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2017"	"2017"	161	161735	99.5
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2018"	"2018"	167	159983	104.4
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2019"	"2019"	171	159086	107.5
	"Alabama"	"01"	"15-19 years"	"15-19"	"Male"	"M"	"2020 "	"2020"	194	157274	123.4
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"1999"	"1999"	120	154634	77.6
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2000"	"2000"	116	155060	74.8
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2001"	"2001"	98	160817	60.9
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2002"	"2002"	123	162619	75.6
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2003"	"2003"	101	163919	61.6
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2004"	"2004"	122	163736	74.5
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2005"	"2005"	113	163672	69.0
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2006"	"2006"	127	162871	78.0
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2007"	"2007"	113	163425	69.1
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2008"	"2008"	109	164263	66.4
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2009"	"2009"	112	166287	67.4
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2010"	"2010"	111	167802	66.1
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2011"	"2011"	99	174254	56.8
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2012"	"2012"	91	176721	51.5
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2013"	"2013"	121	176886	68.4
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2014"	"2014"	112	175941	63.7
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2015"	"2015"	123	170945	72.0
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2016"	"2016"	126	165297	76.2
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2017"	"2017"	120	163231	73.5
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2018"	"2018"	111	161564	68.7
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2019"	"2019"	112	160699	69.7
	"Alabama"	"01"	"20-24 years"	"20-24"	"Female"	"F"	"2020 "	"2020"	127	161467	78.7
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"1999"	"1999"	294	151548	194.0
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2000"	"2000"	293	151805	193.0
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2001"	"2001"	311	157924	196.9
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2002"	"2002"	283	160193	176.7
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2003"	"2003"	315	163064	193.2
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2004"	"2004"	348	163013	213.5
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2005"	"2005"	330	163055	202.4
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2006"	"2006"	409	163368	250.4
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2007"	"2007"	416	163868	253.9
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2008"	"2008"	336	164488	204.3
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2009"	"2009"	291	165830	175.5
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2010"	"2010"	293	167520	174.9
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2011"	"2011"	316	173150	182.5
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2012"	"2012"	270	176160	153.3
	"Alabama"	"01"	"20-24 years"	"20-24"	"Male"	"M"	"2013"	"2013"	306	178447	171.5
